"id","egk","trains","speed","hour","coll"
115465,0.0143873708021612,3.86146121071232,79.1018557456929,7,0
115465,0.0143873708021612,4.66627102094499,84.7439597688672,12,0
115465,0.0143873708021612,2.1624182779989,91.5758286529211,13,0
115465,0.0143873708021612,2.1624182779989,91.5758286529211,16,0
115465,0.0143873708021612,3.99215682092105,77.9371555847113,22,0
116288,0.00942557904184806,12.5657412148578,82.7723985433186,7,0
116288,0.00942557904184806,15.1847062259545,84.751925530463,12,0
116288,0.00942557904184806,7.03681508032036,86.3934028677429,13,0
116288,0.00942557904184806,7.03681508032037,86.3934028677429,16,0
116288,0.00942557904184806,12.9910432252068,79.1192522111033,22,0
117111,0.0230881662051351,3.59194304767271,88.7860862843911,7,0
117111,0.0230881662051351,4.34057959866134,80.1881115037049,12,0
117111,0.0230881662051351,2.01148810669672,89.7557558973012,13,0
117111,0.0230881662051351,2.01148810669672,89.7557558973012,16,0
117111,0.0230881662051351,3.71351650467086,75.845501927435,22,0
117934,0.0278594433847361,8.9321175785673,90.2838331575491,7,0
117934,0.0278594433847361,10.7937589265213,86.0072225061753,12,0
117934,0.0278594433847361,5.00198584399769,90.9817031277139,13,0
117934,0.0278594433847361,5.00198584399769,90.9817031277139,16,0
117934,0.0278594433847361,9.23443540430342,83.5885819116456,22,0
118757,0.00611268345719337,7.37649736454965,88.0278525277419,7,0
118757,0.00611268345719337,10.0193741911072,86.1970932377184,12,0
118757,0.00611268345719337,4.1308385241478,88.4103540066586,13,0
118757,0.00611268345719337,4.1308385241478,88.4103540066585,16,0
118757,0.00611268345719337,9.17720811652961,82.6829199751392,22,0
118758,0.00715936368817112,0.476325298677858,83.1940716643688,7,0
118758,0.00715936368817112,0.571924007171735,82.0008918055786,12,0
118758,0.00715936368817112,0.266742167259601,85.106579058952,13,0
118758,0.00715936368817112,0.266742167259601,85.106579058952,16,0
118758,0.00715936368817112,0.487287246284999,79.053269655005,22,0
119581,0.00446888067733223,1.99389476417677,83.1940716643688,7,0
119581,0.00446888067733223,2.41001811419784,82.0008918055786,12,0
119581,0.00446888067733223,1.11658106793899,85.106579058952,13,0
119581,0.00446888067733223,1.11658106793899,85.106579058952,16,0
119581,0.00446888067733223,2.06215732303275,79.053269655005,22,0
120404,0.00466332273570523,3.86927467687968,80.8525503283657,7,0
120404,0.00466332273570523,3.37459878942569,80.9353767920381,12,0
120404,0.00466332273570523,2.16679381905262,85.7507835756967,13,0
120404,0.00466332273570523,2.16679381905262,85.7507835756967,16,0
120404,0.00466332273570523,4.00052840698574,78.2068170465984,22,0
120405,0.00491745456763582,0.858959252537231,82.8304982386464,7,0
120405,0.00491745456763582,0.858959252537231,82.3530363301377,12,0
120405,0.00491745456763582,0.481017181420849,84.6793932886162,13,0
120405,0.00491745456763582,0.481017181420849,84.6793932886162,16,0
120405,0.00491745456763582,0.888031719546183,79.0341004027085,22,0
121228,0.00476318603704272,2.19832277469532,82.8304982386464,7,0
121228,0.00476318603704272,2.19832277469532,82.3530363301377,12,0
121228,0.00476318603704272,1.23106075382938,84.6793932886162,13,0
121228,0.00476318603704272,1.23106075382938,84.6793932886162,16,0
121228,0.00476318603704272,2.27272754553117,79.0341004027085,22,0
122051,0.00532748530428405,0.00448870978474639,82.8304982386464,7,0
122051,0.00532748530428405,0.00448870978474639,82.3530363301377,12,0
122051,0.00532748530428405,0.00251367747945798,84.6793932886162,13,0
122051,0.00532748530428405,0.00251367747945798,84.6793932886162,16,0
122051,0.00532748530428405,0.00464063534669165,79.0341004027085,22,0
122052,0.0042516622174411,2.19383406491058,82.8304982386464,7,0
122052,0.0042516622174411,2.19383406491058,82.3530363301377,12,0
122052,0.0042516622174411,1.22854707634992,84.6793932886162,13,0
122052,0.0042516622174411,1.22854707634992,84.6793932886162,16,0
122052,0.0042516622174411,2.26808691018447,79.0341004027085,22,0
122875,0.00438112835825139,0.867936672106723,82.8304982386464,7,0
122875,0.00438112835825139,0.867936672106723,82.3530363301377,12,0
122875,0.00438112835825139,0.486044536379765,84.6793932886162,13,0
122875,0.00438112835825139,0.486044536379765,84.6793932886162,16,0
122875,0.00438112835825139,0.897312990239566,79.0341004027085,22,0
122876,0.00573162601105252,1.3303861025886,82.8304982386464,7,0
122876,0.00573162601105252,1.3303861025886,82.3530363301377,12,0
122876,0.00573162601105252,0.745016217449617,84.6793932886162,13,0
122876,0.00573162601105252,0.745016217449616,84.6793932886162,16,0
122876,0.00573162601105252,1.3754145552916,79.0341004027085,22,0
123699,0.00454259844618594,6.73254841761631,84.372789807298,7,0
123699,0.00454259844618594,2.4894547331873,78.587172715001,11,0
123699,0.00454259844618594,6.73254841761631,81.7627984219412,12,0
123699,0.00454259844618594,3.77022711386513,86.3658753072414,13,0
123699,0.00454259844618594,3.77022711386513,86.3658753072415,16,0
123699,0.00454259844618594,6.96041928713563,78.6989046369279,22,0
123700,0.00625508421039021,1.89223563168623,82.6189600944413,7,0
123700,0.00625508421039021,3.39088625198173,81.8635854448252,11,0
123700,0.00625508421039021,1.89223563168623,83.1771864016874,12,0
123700,0.00625508421039021,1.05965195374429,85.5416681240394,13,0
123700,0.00625508421039021,1.05965195374429,85.5416681240394,16,0
123700,0.00625508421039021,1.95628052998946,80.4690476301494,22,0
124523,0.00431685308329551,5.39245466028673,81.6576070115464,7,0
124523,0.00431685308329551,9.66327875123382,80.9022323619304,11,0
124523,0.00431685308329551,5.39245466028673,82.3800490998161,12,0
124523,0.00431685308329551,3.01977460976057,85.0401192280104,13,0
124523,0.00431685308329551,3.01977460976057,85.0401192280104,16,0
